id,question
2254,(Avg. of 42 ) : What is a SQL view?
1390,Question involving Primary Key Integrity constraint.etc
1224,How secure are encrypted stored procedures  triggers and views?
1172,8. A candidate appearing for an examinatio  n has to secure 40% marks to pass paper I. But he secured only 40 marks and failed by 20 marks. What is the maximum mark for paper I?
1135,Consider the following areas for tuning. The order in which steps are listed needs to be maintained to prevent tuning side effects. For example  it is no good increasing the buffer cache if you can reduce I/O by rewriting a SQL statement. Database Design (if it's not too late):
22,2. Why we cant create object for abstract class?
1166,6.transfering of pages from memory to peripheral devices through buffer is ( spooling)
1693,There are 30 questions in which 2 are STAR QUESTIONS (Correct answer to these questions will fetch you more marks and wrong answer will fetch you more negative marks) The key is to leave the questions in which you are not sure of. I heard that there are 2 DUMMY QUESTIONS (all the four options will be wrong) Please try to identify and avoid these questions as attempting these questions might risk your selection to next round.
994,A) InfoPackage â ' Scheduler â ' Repair Request flag (check).
374,An anchoring object is a print condition object which used to explicitly or implicitly anchor other objects to itself.
92,It is difficult to use database objects declared in a module from within a form.
385,14. Can objects of the same Schema reside in different tablespaces ?
180,25. When an object is seen from front side we can see two concentric  squares and topview also without any hidden lines. Draw the side view.
1115,? Case in which fcfs is the best algo
959,10. How does the scheduler know the time how it should be scheduled.
490,multiple inheritance (2 questions)
928,32) In scheduling algorithms which are logically executed but suspended
195,"Coding "" Decoding  Blood relations  Directional Sense  Objective Reasoning  Selection decision tables  Puzzles  Coding Pattern  Number series Pattern  Analogy Logical word sufficiency  Data sufficiency.)."
407,7: what can not be used in object names.
574,Some background on this: C++ supports multiple inheritance  but C# does not. Multiple inheritance in C++ has always be controversial  because the resolution of multiple inherited implementations of the same method from different base classes is hard to control and anticipate. C# decided to avoid this problem by allowing a class to implement multiple interfaces  which do not contain method implementations  but restricting a class to have at most a single parent class. Although this can result in redundant implementations of the same method when different classes implement the same interface  it is still an excellent compromise.
417,3. Mention four Object Oriented Programming Languages?>
1603,d) ALTER TABLE employee DROP PRIMARY KEY employee_id_pk  CASCAdE;
2252,What is the basic form of a SQL statement to read data out of a table?
2221,How are modified extents tracked in SQL Server 2005 (which internal structures)?
1741,4. The effect of the ROLLBACK command in a transaction is the following
2361,2. SQL/PLSQL     see all commands in SQL and exception  cursors  in PLSQL.
891,79. when head is moving back and forth  the disk scheduling  algorithm is _____
1480,16. In public key encryption  if A wants to send a message to B so that no one else can read the message then A encrypts the message using
1396,Can a unique key take many NULL values?
1653,What is the difference between foreign key and reference key ?
605,7) How can you implement inheritance in C++?
164,What do you mean by Object Oriented Programming.
2137,The SQL Variant type can store all datatypes except varchar(max)  varbinary(max)  xml  text  ntext  rowversion/timestamp (thought the data of a rowversion can be stored in a binary(8)  which can be stored in a sql_variant) and sql_variant (it may seem strange that you can?t store a variant in a variant  but all this is saying is that the sql_variant data type doesn?t actually exist as such?SQL Server chooses the best type of storage to store the value you give to it).
1111,"2. The shortlisted candidates were grouped into GD groups. as only 150 to 180 students were selected from apti test  the GD was called off  and we r selected for technical interview. there was two panel of tech interview  one for CSE & IT and another for ECE. I was sent to the CSE panel. and after waiting for about 2 and half hours outside the room  I was really afraid of what was waiting for me there inside. I entered into the room and with a smile I shake my hand with the guy sitting in front of me. As soon as he saw my name he got interested  becoz i m chakraborty and he was too. and after doing some  formal talk  he started to ask me about Linked list  array  structure  malloc  free  RAM  cache memory  some simple questions from JAVA  pointers  OSI layers and their functions  CRC  flow error controll etc. As i told him before my favourites are C  JAVA  I answered confidently every questions from these topics. after half an hour of tech interview  he told me ""Ok Avijit its fine  so any question u have ?"" i asked a company related question  and after that I left with a firm hadshake. and waiting for result  after 10 minutes a guy told me to go to the upstairs  and wait for the HR interview  oh god I was selected for HR. So guys from CSE have to b strong in C  JAVA  Networking."
2220,When you install SQL Server 2005 and create a new database  is a Database Master Key created?
38,"Referring to the sample code above  if an object of class ""myprofessor"" were created  how many instances of professor will it contain?"
1574,A certificate is an asymmetric key that provides encryption in addition to authentication of an entity.
1255,DYNAMIC PRIVILEGE MANAGEMENT - When the privileges of a group must change  only the privileges of the role need to be modified. The security domains of all users granted the group's role automatically reflect the changes made to the role.
729,6. Difference between process and thread
103,1. What are the advantages of Object oriented programming languges?
2369,What is the significance of the & and && operators in PL SQL ?
1669,& GEN ENGLISH  C QUES PLAY KEY ROLE
2173,How is Thesaurus data configured in SQL Server 2005 Full-Text Search?
353,102. Can you store objects in library?
2026,"Questions were fired one after another from deadlock  critical section  memory management. He then again shifted to SQL and gave simple queries to write. I got confused in two and I politely said ""I do not know Sir"". Rest I was confident that I was correct. He tried to confuse me but I remained intact to my points. He then asked basics of C- pointers and functions  preprocessors directives and their functions."
468,There was no negative marking so you can attempt all the written test questions. Just tick on the multiple choice - objective questions when the time is gonna be over. Out of 180 students only 20 were short listed for the 2nd round. I was one among them.
573,One additional key difference between interfaces and abstract classes (possibly the most important one) is that multiple interfaces can be implemented by a class  but only one abstract class can be inherited by any single class.
762,TR: What is Thread and why are they used?
1417,22. What happens when an application is opened as like an MS Word and u       press Tab key then the response seen is the cursor moving a bit on the       Word document.So what r the processes (no jargon give the proper technical       terms) behind this whole thing happening?
1953,So I suggest you to prepare sql from site w3schools.com and basic commands of unix (like grep  cat). Output and error based question of C language as I have opted C  and they were easy. So be prepare for it.
1971,10 questions on Database (find correct sql query  permissions)
2420,The other 25 questions were technical questions based on basic programming logics  java  object oriented technology  SQL  networking  etc and the time was 30 minutes. You could solve either of the sections first but cannot carry the timing of one section to the other one and also there was an option to go back to the questions so you could change your answer if you wanted.
1368,10)what happens when any keyboard key is pressed?(abt WM_CHAR message)
841,Without using strrev  reversing a linked list  program to find factorial of a number  swings  Servlets  JDBC  etc.
1123,8. CMOS inverter main yadi PMOS and NMOS ko interchange ker de to bo buffer bun jata hai.
1730,b. Read is done when the transaction is not yet committed
